Localidad;Departamento;Provincia;Latitud;Longitud;Estado
Arroyo Dulce;Salto;Buenos Aires;-34,09362778;-60,41030278;Conectado
Arroyo Seco;Rosario;Santa Fe;-33,16727778;-60,52825;Conectado
Arrufo;San Cristobal;Santa Fe;-30,23163889;-61,72727778;Conectado
Ataliva;Castellanos;Santa Fe;-30,99839452;-61,43187315;Conectado
Ataliva Roca;Utracan;La Pampa;-37,03036667;-64,29124722;Conectado
Avellaneda..;Ischilin;Cordoba;-30,595061;-64,20645;Conectado
Averias;General Taboada;Santiago del Estero;-28,74518333;-62,449725;Conectado
Avia Terai;Independencia;Chaco;-26,686306;-60,729694;Conectado
Ayacucho;Ayacucho;Buenos Aires;-37,14957222;-58,47072222;Conectado
Azcuenaga;San Andres de Giles;Buenos Aires;-34,36307825;-59,37655399;Conectado
Azucena;San Andres de Giles;Buenos Aires;-37,48694167;-59,293325;Conectado
Azul;Azul;Buenos Aires;-36,76994444;-59,85005556;Conectado
Bahia Blanca;Bahia Blanca;Buenos Aires;-38,75124167;-62,28297222;Conectado
Bahia Blanca.;Bahia Blanca;Buenos Aires;-38,75124167;-62,28297222;Conectado
Baigorrita;General Viamonte;Buenos Aires;-34,74771111;-60,98280833;Conectado
Bajada del Agrio;Picunches;Neuquen;-38,40473333;-70,02648611;Conectado
Bajo Caracoles II;Rio Chico;Santa Cruz;-47,44512222;-70,92744444;Conectado
Bajo Carrizal;Famatina;La Rioja;-28,888795;-67,563648;Conectado
Balcarce;Balcarce;Buenos Aires;-37,84979167;-58,24926111;Conectado
Ballesteros;Union;Cordoba;-32,544244;-62,975397;Conectado
Balneario Laguna de Gomez;Junin;Buenos Aires;-34,65590556;-61,0193;Conectado
Bananal;Ledesma;Jujuy;-23,56561111;-64,50236111;Conectado
Bandera;Belgrano;Santiago del Estero;-28,88791667;-62,26744444;Conectado
Bandera Bajada;Figueroa;Santiago del Estero;-27,276667;-63,509722;Conectado
Banderalo;General Villegas;Buenos Aires;-35,01091667;-63,37183333;Conectado
Bañado de Soto;Cruz del Eje;Cordoba;-30,794461;-65,052825;Conectado
Baradero;Baradero;Buenos Aires;-33,810287;-59,50957;Conectado
Barcena;Tumbaya;Jujuy;-23,982475;-65,452911;Conectado
Barda del Medio;General Roca;Rio Negro;-38,72412222;-68,16301389;Conectado
Bardas Blancas;Malargüe;Mendoza;-35,86848611;-69,80525833;Conectado
Barrancas;San Jeronimo;Santa Fe;-32,23239444;-60,99059444;Conectado
Barrancas (ex Las Juntas);Belen;Catamarca;-28,103884;-65,899651;Conectado
Barrancas.;Pehuenches;Neuquen;-36,82359167;-69,91165278;Conectado
Barrio Alto del Olvido;Lavalle;Mendoza;-32,668533;-68,583604;Conectado
Barrio Casa Rosada;Famailla;Tucuman;-27,04634722;-65,4272;Conectado
Barrio Colinas Verdes;General Pueyrredon;Buenos Aires;-37,89308889;-57,82196944;Conectado
Barrio Colonia Conesa;Conesa;Rio Negro;-40,151051;-64,353325;Conectado
Barrio El Coyunco;General Pueyrredon;Buenos Aires;-37,91791944;-57,74728056;Conectado
Barrio El Pilar;Bariloche;Rio Negro;-41,17068333;-71,33728333;Conectado
Barrio El Portal cambia por Ing. Fronteritas;Famailla;Tucuman;-27,03670894;-65,39213814;Conectado
Barrio El Taladro;Cañuelas;Buenos Aires;-35,0715;-58,86511111;Conectado
Barrio Jocoli II;Lavalle;Mendoza;-32,650868;-68,660069;Conectado
Barrio Justo P. Castro Iv;Caucete;San Juan;-31,627767;-68,302285;Conectado
Barrio La Gloria;General Pueyrredon;Buenos Aires;-37,90758889;-57,78501111;Conectado
Barrio La Palmera;Lavalle;Mendoza;-32,72149722;-68,56055278;Conectado
Barrio La Pega;Lavalle;Mendoza;-32,80666667;-68,66527778;Conectado
Barrio La Union;El Carmen;Jujuy;-24,40512778;-65,06995;Conectado
Barrio Lomas Altas;Chascomus;Buenos Aires;-35,58551111;-58,06786667;Conectado
Barrio Martinez Saravia;Gral.J. de San Martin;Salta;-22,57591111;-63,80631667;Conectado
Barrio Mitre;;Santa Fe;-33,25204167;-60,38819444;Conectado
Barrio Sadop;San Martin;San Juan;-31,5349666;-68,3983333;Conectado
Barrio Santa Paula;General Pueyrredon;Buenos Aires;-37,93163056;-57,68613889;Conectado
Barrio Virgen del Rosario;Lavalle;Mendoza;-32,70246667;-68,313;Conectado
Barrios;Yavi;Jujuy;-22,24627796;-65,52787171;Conectado
Bartolome de las Casas;Patiño;Formosa;-25,40875889;-59,57087908;Conectado
Basavilbaso;Uruguay;Entre Rios;-32,37117222;-58,87845833;Conectado
Belen;Belen;Catamarca;-27,64672222;-67,02038889;Conectado
Bell Ville;Union;Cordoba;-32,612997;-62,694325;Conectado
Bella Italia;Castellanos;Santa Fe;-31,28253584;-61,40937088;Conectado
Bella Vista;Bella Vista;Corrientes;-28,517925;-59,03736111;Conectado
Bellocq;Carlos Casares;Buenos Aires;-35,919598;-61,534026;Conectado
Beltran;Robles;Santiago del Estero;-27,82890278;-64,06425556;Conectado
Benavidez;Tigre;Buenos Aires;-34,41083333;-58,72027778;Conectado
Benito Juarez;Benito Juarez;Buenos Aires;-37,67955556;-59,81016667;Conectado
Berdier;Salto;Buenos Aires;-34,39888889;-60,25111111;Conectado
Bermudez;Lincoln;Buenos Aires;-34,69230556;-61,32461111;Conectado
Bernardo de Irigoyen;Gral. Manuel Belgrano;Misiones;-26,25511944;-53,64576944;Conectado
Berrotaran;Rio Cuarto;Cordoba;-32,449162;-64,393537;Conectado
Berutti;Trenque Lauquen;Buenos Aires;-35,85957778;-62,51339722;Conectado
Betbeder;Nogoya;Entre Rios;-32,373275;-59,92775556;Conectado
Bocayuva;Pellegrini;Buenos Aires;-36,2045;-63,07622222;Conectado
Bonpland;Paso de Los Libres;Corrientes;-29,81708333;-57,42736111;Conectado
Bovril;La Paz;Entre Rios;-31,34015;-59,43371944;Conectado
Bowen;General Alvear;Mendoza;-34,99286111;-67,51236111;Conectado
Bower;Santa Maria;Cordoba;-31,557942;-64,193089;Conectado
Bragado;Bragado;Buenos Aires;-35,12833333;-60,47111111;Conectado
Bulnes;Rio Cuarto;Cordoba;-33,501514;-64,678982;Conectado
Bustinza;Iriondo;Santa Fe;-32,73511944;-61,29375278;Conectado
Buta Ranquil;Pehuenches;Neuquen;-37,05138611;-69,87720278;Conectado
Caa - Yari;Leandro N. Alem;Misiones;-27,485512;-55,299521;Conectado
Cachi;Cachi;Salta;-25,12087222;-66,15459444;Conectado
Cafayate;Cafayate;Salta;-26,0725;-65,98448889;Conectado
Caimancito;Ledesma;Jujuy;-23,740333;-64,602333;Conectado
Calabacilla;Concordia;Entre Rios;-31,50665833;-58,13470556;Conectado
Caleta Olivia;Deseado;Santa Cruz;-46,45789722;-67,51471667;Conectado
Calilegua;Ledesma;Jujuy;-23,77252778;-64,776;Conectado
Campamento Vespucio;Gral.J. de San Martin;Salta;-22,58495278;-63,85387778;Conectado
Campamento Vialidad Nacional;Caleu Caleu;La Pampa;-38,38843889;-64,07326667;Conectado
Campana;Campana;Buenos Aires;-34,18055556;-58,96888889;Conectado
Campanas;Famatina;La Rioja;-28,556084;-67,617573;Conectado
Campichuelo;Gral.J. de San Martin;Salta;-23,10823056;-63,99715;Conectado
Campo de Herrera;Famailla;Tucuman;-27,02831944;-65,34786111;Conectado
Campo Gallo;Alberdi;Santiago del Estero;-26,58194444;-62,84416667;Conectado
Campo Grande;Cainguas;Misiones;-27,214249;-54,975396;Conectado
Campo Ramon;Obera;Misiones;-27,457705;-55,022584;Conectado
Campo Viera;Obera;Misiones;-27,33061158;-55,05184845;Conectado
Canal 5 Puerto Iguazu;Puerto Iguazu;Misiones;-25,609138;-54,573938;Conectado
Cangrejillos;Yavi;Jujuy;-22,42572222;-65,58213889;Conectado
Cañada de Gomez;Iriondo;Santa Fe;-32,81630556;-61,41252778;Conectado
Cañada Escobar;Banda;Santiago del Estero;-27,708472;-64,027861;Conectado
Cañada Ombu;Vera;Santa Fe;-28,308;-59,98211111;Conectado
Cañada Seca;General Villegas;Buenos Aires;-34,41813889;-62,95777778;Conectado
Cañada Xii;Formosa;Formosa;-25,88162778;-58,08538611;Conectado
Cañadon Seco;Deseado;Santa Cruz;-46,56157222;-67,60674444;Conectado
Cañuelas;Cañuelas;Buenos Aires;-35,025225;-58,73272778;Conectado
Capayan;Capayan;Catamarca;-28,760092;-66,048739;Conectado
Capiazuti;Gral.J. de San Martin;Salta;-22,20186944;-63,71677778;Conectado
Capilla de Los Remedios;Rio Primero;Cordoba;-31,42955833;-63,83223056;Conectado
Capilla del Señor;Exaltacion de La Cruz;Buenos Aires;-34,29258889;-59,10114444;Conectado
Capitan Bermudez;San Lorenzo;Santa Fe;-32,82208889;-60,71730278;Conectado
Capitan Juan Page;Rivadavia;Salta;-23,68649167;-62,37581111;Conectado
Capitan Sarmiento;Capitan Sarmiento;Buenos Aires;-34,17188611;-59,79345;Conectado
Carboncito;Gral.J. de San Martin;Salta;-23,23348611;-63,76795;Conectado
Carcaraña;San Lorenzo;Santa Fe;-32,8566111;-61,1517777;Conectado
Cardenal Cagliero;Patagones;Buenos Aires;-40,65080556;-62,75411111;Conectado
Carhue;Adolfo Alsina;Buenos Aires;-37,18036111;-62,76183889;Conectado
Carlos Keen;Lujan;Buenos Aires;-34,48888889;-59,2175;Conectado
